212280	Conference proceedings	Kandlhofer, Martin\Steinbauer, Gerald\Hirschmugl-Gaisch, Sabine\Huber, Petra	Artificial intelligence and computer science in education: From kindergarten to university		2016 IEEE Frontiers in Education Conference (FIE)	2016	1-9	2016	IEEE		https://doi.org/10.1109/fie.2016.7757570						Cited By (since 2016): 180				1539-4565								Query date: 2025-02-16 14:21:42 180 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85006761114&origin=inward			10.1109/fie.2016.7757570				
206890	Journal article	Hutchins, Nicole M.\Biswas, Gautam	Co‐designing teacher support technology for problem‐based learning in middle school science		British Journal of Educational Technology	55(3)	802-822	2024	Wiley		https://doi.org/10.1111/bjet.13363				AbstractThis paper provides an experience report on a co‐design approach with teachers to co‐create learning analytics‐based technology to support problem‐based learning in middle school science classrooms. We have mapped out a workflow for such applications and developed design narratives to investigate the implementation, modifications and temporal roles of the participants in the design process. Our results provide precedent knowledge on co‐designing with experienced and novice teachers and co‐constructing actionable insight that can help teachers engage more effectively with their students' learning and problem‐solving processes during classroom PBL implementations. Practitioner notesWhat is already known about this topic Success of educational technology depends in large part on the technology's alignment with teachers' goals for their students, teaching strategies and classroom context. Teacher and researcher co‐design of educational technology and supporting curricula has proven to be an effective way for integrating teacher insight and supporting their implementation needs. Co‐designing learning analytics and support technologies with teachers is difficult due to differences in design and development goals, workplace norms, and AI‐literacy and learning analytics background of teachers. What this paper adds We provide a co‐design workflow for middle school teachers that centres on co‐designing and developing actionable insights to support problem‐based learning (PBL) by systematic development of responsive teaching practices using AI‐generated learning analytics. We adapt established human‐computer interaction (HCI) methods to tackle the complex task of classroom PBL implementation, working with experienced and novice teachers to create a learning analytics dashboard for a PBL curriculum. We demonstrate researcher and teacher roles and needs in ensuring co‐design collaboration and the co‐construction of actionable insight to support middle school PBL. Implications for practice and/or policy Learning analytics researchers will be able to use the workflow as a tool to support their PBL co‐design processes. Learning analytics researchers will be able to apply adapted HCI methods for effective co‐design processes. Co‐design teams will be able to pre‐emptively prepare for the difficulties and needs of teachers when integrating middle school teacher feedback during the co‐design process in support of PBL technologies.		Cited By (since 2024): 3				0007-1013								Query date: 2025-02-16 14:21:42 3 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85165633373&origin=inward			10.1111/bjet.13363				
196601	Journal article	Yang, Hongwu\Zhang, Di\Guo, Weitong\He, Yanshan	Constructing a STEM projects design framework for middle school AI courses: Developing students’ AI literacy as project goals		IEEE Access	12	1-1	2024	Institute of Electrical and Electronics Engineers (IEEE)		https://doi.org/10.1109/access.2024.3512499										2169-3536								Query date: 2025-02-16 14:21:42			10.1109/access.2024.3512499				
37381	Conference proceedings	Darabipourshiraz, Hasti\Ambani, Dev\Long, Duri	DataBites: An embodied and co-creative museum exhibit to foster children's understanding of supervised machine learning		Creativity and Cognition		550-555	2024	ACM	New York, NY, USA	https://doi.org/10.1145/3635636.3664247																		Query date: 2025-02-16 14:21:42			10.1145/3635636.3664247				
113700	Journal article	Korean, Association For Learner-Centered Curriculum And Instruction\Son, Yoorim\Kim, Juhyun\Ji, Kyunga	Design and Teaching Strategies for Artificial Intelligence Convergence Education to Protect Creative Autonomy: Focusing on the Middle School Art Class		Korean Association For Learner-Centered Curriculum And Instruction	24(6)	311-331	2024	Korean Association For Learner-Centered Curriculum And Instruction		https://doi.org/10.22251/jlcci.2024.24.6.311				Objectives This study has developed teaching strategies that instructors can use to design and implement artificial intelligence convergence education utilizing generative artificial intelligence for image creation. The derived lesson designs and teaching strategies suggest a limited use of artificial intelligence to ensure that learners using generative AI do not lose their creative autonomy. Methods Through a review of prior literature, an initial checklist for class design and a teaching strategy were developed. Subsequently, two rounds of internal validation were conducted with four experts. A creative class utilizing image-generating artificial intelligence was then implemented for 100 first-year middle school students in Seoul. The effectiveness of this approach was evaluated through pre- and post-tests of artificial intelligence literacy and interviews with the learners. Results Ultimately, 10 items for the class design checklist and 51 items for the teaching strategy were developed. The class design checklist included steps for ‘checking the usage environment’, ‘evaluating the class content’, and ‘assessing expertise’. The teaching strategy was structured into stages of ‘class preparation’, ‘understanding image-generating artificial intelligence’, ‘creative problem-solving’, and ‘class arrangement’. As a result of implementing these creative classes with image-generating artificial intelligence, there was a significant improvement in the students’ artificial intelligence literacy. Furthermore, both instructors and learners highlighted several benefits of these classes, such as the integration of artificial intelligence with various subjects, the enhancement of divergent thinking, firsthand experience with artificial intelligence principles and applications, opportunities for collaboration and discussion, and a strengthened understanding of copyright and ethical considerations. Conclusions The instructional class design checklist and teaching strategy developed in this study serve as cross-curricular guidelines applicable to various subjects that involve image creation, including Korean language, history, and art. Designing artificial intelligence convergence lessons with a focus on protecting learner’s creative autonomy can enable them to grasp the entire creative process and its inherent value. This approach goes beyond mere technical use, empowering learners to enhance their own creative expressions.						15982106 2671776x											10.22251/jlcci.2024.24.6.311				
245018	Journal article	Chiu, Thomas K.F.\Chen, Yifan\Yau, King Woon\Chai, Ching-sing\Meng, Helen\King, Irwin\Wong, Savio\Yam, Yeung	Developing and validating measures for AI literacy tests: From self-reported to objective measures		Computers and Education: Artificial Intelligence	7	100282	2024	Elsevier BV		https://doi.org/10.1016/j.caeai.2024.100282						Cited By (since 2024): 1				2666-920X								Query date: 2025-02-16 14:21:42 1 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85203425013&origin=inward			10.1016/j.caeai.2024.100282				
31921	Journal article	Zhang, Helen\Perry, Anthony\Lee, Irene	Developing and Validating the Artificial Intelligence Literacy Concept Inventory: an Instrument to Assess Artificial Intelligence Literacy among Middle School Students		International Journal of Artificial Intelligence in Education		1	2024	Springer Science and Business Media LLC		https://doi.org/10.1007/s40593-024-00398-x						Cited By (since 2024): 2				1560-4292								Query date: 2025-02-16 14:21:42 2 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192059335&origin=inward			10.1007/s40593-024-00398-x				
171719	Journal article	Korean, Technology Education Association\Kim, Hyunjung\Kim, Young Min	Development and effectiveness analysis of middle school invention education program using AI: Focusing on Chat GPT		Korean Technology Education Association	24(1)	131-151	2024	Korean Technology Education Association		https://doi.org/10.34138/kjte.2024.24.1.131				The purpose of this study is to develop and apply a middle school invention education program using Chat GPT, an interactive AI. To this end, we developed and applied an invention education program using Chat GPT, an interactive AI targeting middle school students, and compared and analyzed it with existing invention education programs. The conclusions of this study are as follows. First, we developed and applied an invention education program using AI with high validity targeting middle school students. Second, compared to existing invention education, the group that applied AI-based invention education used more diverse thinking techniques and came up with more diverse invention ideas. Third, the change in attitude toward invention improved in all groups, and the interest attitude and practical attitude factors improved more highly in the AI-based invention education group. Fourth, in the experimental group that applied the AI-based invention education program, students' artificial intelligence literacy improved. Fifth, in an environment of educational paradigm change that emphasizes digital literacy and AI, we were able to present a practical AI-utilized invention education program suitable for middle school settings.	인공지능\중학교\발명교육\프로그램\Chat GPT\AI(Artificial Intelligence)\Middle School\Invention education\Program																10.34138/kjte.2024.24.1.131				
240199	Journal article	Korean, Association For Learner-Centered Curriculum And Instruction\Cho, Minji\Kim, Mirae\Yoon, Youngjip\Shin, Byoungchul	Development of an AI-Integrated English Writing Class Model for Artificial Intelligence Literacy: Focused on Prompt Engineering		Korean Association For Learner-Centered Curriculum And Instruction	24(6)	135-157	2024	Korean Association For Learner-Centered Curriculum And Instruction		https://doi.org/10.22251/jlcci.2024.24.6.135				Objectives This study aimed to develop a model for an English writing class integrating Generative AI for artificial intelligence literacy. Methods Literature and prior research on artificial intelligence literacy, prompt engineering, Generative AI, and the development of English writing class models were analyzed. The model prototype's purpose and theoretical foundation were established, validated for internal consistency by five experts in educational technology and English education. The prototype was tested with one English teacher and approximately 48 students over a two-week period in December 2023, refining its content for the final model. Results To achieve this, 31 first-year middle school students in Seoul were assessed through pre- and post-tests to measure their attitudes toward artificial intelligence literacy and English writing. The final class model consisted of seven stages, distinguishing between learner, instructor, and Generative AI roles. Nine teaching strategies were applied to 39 detailed stages of the class model, aligning with instructional design principles. Conclusions The developed model holds significance in encouraging students' divergent questioning and proactive learning attitudes through strategic and systematic integration of Generative AI interaction within the English writing class. Moreover, through the development of this class model and teaching strategies, it is anticipated to serve as an effective guideline for educators to design and implement prompt engineering-based Generative AI integrated English writing classes.						15982106 2671776x											10.22251/jlcci.2024.24.6.135				
161714	Journal article	Ding, Ai-Chu Elisha\Shi, Lehong\Yang, Haotian\Choi, Ikseon	Enhancing teacher AI literacy and integration through different types of cases in teacher professional development		Computers and Education Open	6	100178	2024	Elsevier BV		https://doi.org/10.1016/j.caeo.2024.100178						Cited By (since 2024): 17				2666-5573								Query date: 2025-02-16 14:21:42 17 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85197093491&origin=inward			10.1016/j.caeo.2024.100178				
212037	Journal article	Hong, JiYeon\Kim, Kwihoon	Impact of AIoT education program on digital and AI literacy of elementary school students		Education and Information Technologies	30(1)	107-130	2025	Springer Science and Business Media LLC		https://doi.org/10.1007/s10639-024-12758-0						Cited By (since 2024): 1				1360-2357								Query date: 2025-02-16 14:21:42 1 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85201009369&origin=inward			10.1007/s10639-024-12758-0				
12931	Journal article	HUANG, Shih-Hua\HSU, Ting-Chia	Learning Effectiveness and Reflections on AI Literacy in Junior High School Students with Game-Based Learning and Problem-Based Learning		International Conference on Computers in Education		0	2024	Asia-Pacific Society for Computers in Education		https://doi.org/10.58459/icce.2024.4933				This research attempts to cultivate the AI literacy of junior high sci-ml students and aims to evaluate the learning effectiveness of integrating game-based learning with problem-based learning to improve their A1 literacy. using a self- developed board game on Naive Bayes Classifier and Generative AI applications as teaching material, students engage in a problem-based learning approach through group The results of the research show a significant improvement in students' AI literacy, particularly in their understanding of AI, and a significant increase in their behavioral intentions and engagement. The results confirm the effectiveness of this pedagogical approach for promoting AI literacy at the high level.						30784360											10.58459/icce.2024.4933				
179619	Conference proceedings	Zhou, Xiaofei\Xiong, Pei\Xiao, Qinqin\Bai, Zhen	OptiDot: An Optical Interface for Children to Explore Dot Product and AI Recommendation		Extended Abstracts of the CHI Conference on Human Factors in Computing Systems		1-7	2024	ACM	New York, NY, USA	https://doi.org/10.1145/3613905.3651040						Cited By (since 2024): 2												Query date: 2025-02-16 14:21:42 2 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85194142549&origin=inward			10.1145/3613905.3651040				
203584	Journal article	Burriss, Sarah K.\Hutchins, Nicole\Conley, Zachary\Deweese, Menton M.\Doe, Yelena J.\Eeds, Angela\Villanueva, Ana\Ziegler, Hannah\Oliver, Kendra	Redesigning an AI bill of rights with/for young people: Principles for exploring AI ethics with middle and high school students		Computers and Education: Artificial Intelligence	7	100317	2024	Elsevier BV		https://doi.org/10.1016/j.caeai.2024.100317						Cited By (since 2024): 1				2666-920X								Query date: 2025-02-16 14:21:42 1 cites: https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85206634827&origin=inward			10.1016/j.caeai.2024.100317				
